ID;TOTAL_NF_ENTRADA;IDADE;SXE;SXA;FUZZYNUMBER;FUZZYLABEL
8bab62a5b75fd53895fcdd2921c5be5d99e32b9c670e9181d6307d598bf6dd43;175;22,98;0,001;0,009;0,762280702;Muito Provável
73349e13c1b8653dd615400bf5c2b4d4faccbdf8927823de4a4710043c446157;8190;40,76;0,013;0,004;0,814285714;Muito Provável
df5688a31da23b75245d67eb741209ed642d1359972c6e5d3c32ad95bdebae34;9704,79;123,6;0,095;0;0,795833333;Muito Provável
f5529a9ace1dace2f2cf249115395274aecd09d7e94b29e16c8a7201e4161355;53249,5;198,98;0,791;0,01;0,757174274;Provável
f9bd61a910b50893ddaa0a713493be3a99046ef0b16c97a35bfd592f11225a9e;357,94;358,6;0,001;0,01;0,757174274;Provável
2ed0b89890265dac70e971f0e3d07ec9d8b93434218fde916c30601a395c07ab;1454,1;231,15;0,014;0,113;0,897169811;Pouco Provável
53eb7175873bd133f97850844640d5f4d4197db58c81270cfef534d1f3e90472;126000;276,66;0,106;0,004;0,814285714;Muito Provável
d5f91b8968b004933b3f13826c886335fff7dca70497ddcc428e05d6168cdc14;47700;175,31;0,381;0;0,775487886;Muito Provável
7c434c9199e020b55ed67fe6a834edc1896f56fb9ebc2d8a1b61b6d33392ec9e;1315,2;64,44;0,004;0;0,833333333;Muito Provável
a795fa77df98758db5ae2762d4c53474f272cd58daf7f1cab7f6ffa8e0d8c2e4;12427;219,6;0,14;0,047;0,829498106;Provável
58e7d159003fa1b79846662379e388ccdb8da5d5b7963021aea4513a2b07ed29;19883,49;5,82;0,082;0;0,791707317;Muito Provável
fd131248b1589739084c4107cde35fb3514be086ecb4637fa4477d8af4368143;15235,44;5,31;0,018;0,002;0,827777778;Muito Provável
21b8ccd091b9e803dade19451939cffbb8a8541c43a8e9062785afc5f3eba879;200000;8,86;0,632;0,01;0,757174274;Provável
b6ffacf688b5a8dfa80bf36f43cd56c61f8d47d2f5f1de34c536e60c441b9ef0;933,6;24;0,009;0,004;0,814285714;Muito Provável
b1d77cbd47a2118d428a17d0fa6e7c5235be4305c5ab71205f66f33765336a57;48000;3,5;0,045;0;0,833333333;Muito Provável
2b2c5a65a7a4c97f7cb0e6e3f13e2f3e8af092928b9a9261e67da2bfedc123d6;1244;147,69;0,009;0,009;0,762280702;Muito Provável
eef19099e7e49c1e87c88f535e7a298e0f98b46677b86087dac8ae2beb7844fd;192340,04;28,31;0,388;0,279;0,865819766;Pouco Provável
e39d78be6aa71f2aba4347bb5075a53614ad8f1c0c2eccb3478cd17712acf16d;153651;14,34;0,372;0;0,778636364;Muito Provável
393fd75897ff5be936b8143443420327d85fa424ef7259ee74c80529c2f2c0aa;6668,81;85,98;0,002;0,002;0,827777778;Muito Provável
84b0676b2766a3f4e1967489c642c113a338405fd769eaa3ea0bc20b187fffe0;36290;74,57;0,412;0;0,764312888;Muito Provável
56c5f3eacbe3d7d8c71b8ae17f9d6ed400828fa57a08475a97ecdaf6a17a8fb1;300;123,37;0,001;0;0,825;Muito Provável
c72c1169ca6661cbf3590e71188b446d64003dbffcb3d7506bf565b7c6002b49;789,02;8,15;0,002;0;0,833333333;Muito Provável
6672da94ec1fdfcd4616dc9277fe31d179e134e8c93cf7024ceadef55a82446e;20917,48;41,95;0,093;0,75;0,88097561;Pouco Provável
a483dc24a8d9a4f0ea81de367a8471832ae3e7a759a28e29095d60c0eca36d77;1100;29,92;0,011;0,042;0,833298827;Muito Provável
7230bdb1173d45d5c400a5631f1fc21bb34920853a66c2e95071ab0d5f026802;13940;29,53;0,063;0,009;0,762280702;Muito Provável
89925b2b22ae3d0ea787783ca64c4c01edb9fb463d722b91432f8b96d8f0a83d;3701,6;86,92;0,001;0,004;0,814285714;Muito Provável
d0386b684c40ec62867005006819c1ecdf0510c3458d0498e22fc4848985fb17;8800;102,82;0,029;0,038;0,830824972;Muito Provável
cb59950c99daecac81f4fcc4bede91e0e6af9dfd934c08b15fbb2307b05ab03e;3443120;36,4;0,947;0,001;0,831818182;Muito Provável
21269272f335b57945818a4d9415b0a2ef54dcc34f21a0e1b9018b9ca9e44938;5671,93;188,98;0,018;0;0,833333333;Muito Provável
b04ddd96616b8e61358f0f62fa765cce4365a0ecfd743dc361b9521e05b09ab5;48126,5;111,15;0,569;0,008;0,774074074;Muito Provável
ab658f8934a442c48f67370fa783bb36195d0b6eb0b2053124f2133e69471ae2;10188,39;2,69;0,029;0,083;0,812207602;Provável
d25fb3c545545ed44cb582ffd374807713f4540151585038b3eb431ccc5785aa;76965,45;103,95;0,295;0,043;0,803392903;Provável
e78f258d279b9e151b215657a3d8a8b8211cdfe8c657306cf0f9bc0572b1fc77;337447277,1;13,4;0,253;0;0,814785759;Muito Provável
cf526a548b202ae1962d7b6f8a8edbe59374f7ce1084f0f7a13daa86e14010d1;4357,67;128,66;0,039;0;0,825;Muito Provável
61250b28b431057c1556f920abdb8420fee8bfa5d4220ba4b67294bad35435aa;134058,9;190,28;0,673;0,002;0,794300826;Muito Provável
e10953b724e08b9bf27943e50cf165c1397503f20cdb5effd7d46975dfa0ef83;4414,39;91,34;0,012;0;0,833333333;Muito Provável
7fe2a8cc854baefdcfa26ea5041acb1710e40255dd58057a88129261ace664d5;841,48;67,66;0,002;0,059;0,795833333;Muito Provável
061290adbe199fa7d82c7535e6a471d835b5b97d995cabdcc0879b45be573d34;3293;75,47;0,025;0;0,833333333;Muito Provável
50af041b21c58ff327f726d107868f8fd5d903ae9560478c8b544cb971bb2d5b;23418,49;33,89;0,198;0,074;0,790656566;Provável
6f159d6631aec9fcab9ef9bbd72593ceed5edb110ff4094736700b23b04e87ea;180,01;34,79;0,001;0;0,833333333;Muito Provável
7c5f6ce00cbf9e9127b7119c1b4351a6a38cde8407e0ccb8ac65e4d2ac28e6b0;13474,4;112;0,114;0,131;0,908926859;Provável
5e2cbf2a849a07abefd1f1c04fa9c2f581fe85121e21424b93d17e6844c31020;111112,37;0,08;0,05;0,089;0,823447712;Provável
bd2d3a098c092c364951b7d76e5c7c3e9a97a52d50ca65515b0d0c652cb31f74;35597,98;0,76;0,035;0;0,833333333;Muito Provável
8a0b75eeead1d3d467c618c5e014b5180ff9dc54dd4af1772d987e89279e5f21;9655,75;183,73;0,014;0,009;0,548565647;Muito Provável
df78c4e97a613c72823fd9a572596839934e9e81b75bbe2c831e029994dfa97b;5966;134,37;0,009;0,005;0,805555556;Muito Provável
eaf5accee809c6133b88a4dff506b9a50b0f38ec384e5cadb074778ac054ef0e;888,92;15,18;0,009;0,033;0,823424462;Muito Provável
adc99d8b8425355849159425a7ebaab639aaf3c61cf4119b4de1e2bcf9e19243;14401,91;228,15;0,043;0,004;0,814285714;Muito Provável
b1d97bad74bddb9969c6f466f3cb04af1891ce36365b9b6e2c6797e546ce0f23;3603,39;0,76;0,017;0;0,833333333;Muito Provável
f695f342e2c1c960233d9cb250b24323f5cf109ab54da6c78c2e1c98be30de5f;76500;221,24;0,006;0;0,833333333;Muito Provável
1821d5e366478169fef1cfcb72c286fba95b815b69943154f7a99f4961d857d9;15079,62;23,08;0,032;0,021;0,793456694;Muito Provável
8753ff52f3f11e02645abf025007d44e4e988ca6f9edff94321ea6e817b0c08f;1077,3;256,31;0,008;0;0,833333333;Muito Provável
f29364c9aeb81c63d4ca45e8c4ce6de4eb4e321a68cbd4a2fd511a3d8250d40d;2,26;48,5;0;0,001;0,831818182;Muito Provável
e1bb8c4e10ea5cca56d1061cfc20a4aa188470ed9f62af393bf4a7e9ff03bcbf;4630,06;29,86;0,022;0,067;0,379025925;Provável
f22b75fd35692f6993d4326c5dd0b4247000aa7fcc760f6e2005b0a4c46ef32a;3765;184,98;0,008;0,061;0,524342634;Provável
eb8b31200df5b5c9fbb37883e4ab46a05fc4fd0cc163a89fd7ef3c01e27c4a50;219900;79,89;0,608;0,073;0,878855721;Pouco Provável
a820f3d42eea318c9c2d128c50d45fb201c787f564528335e5d22acd13781ff9;23641,32;181,5;0,051;0,012;0,25;Provável
af39c8cb5cb54b2b2e81e83f9f2fc2cdcd4dfbe8f4bf736aad8123304fe65bb4;128,7;25,4;0,001;0,003;0,821794872;Muito Provável
afd8a0ba6174fa703c274ea05ab14d98ae6aabb1d72cc0026fcbad11654b439d;24700;20,76;0,229;0,002;0,82040404;Muito Provável
edfd07e212a0835f6120923f7e235cd1f89450d95704fef52130e8114e407c2e;6353,9;43,73;0,052;0;0,833076923;Muito Provável
5452419fb711cd0f171213b5f25393df9709b7d21b36ebf754601b3544ef9c43;27081,05;12,47;0,049;0,054;0,812781663;Muito Provável
00b6eef0bedde0dcea9d375a19ccde3c5f1d2a7b3a967b47a45b918e64020788;397,5;2,6;0,003;0,066;0,258657699;Provável
0291528d8adfa7dfe0d855e5df83b8403d72b7452e547fba1f0764c15cf931ba;14951,6;191,6;0,021;0,103;0,735751517;Pouco Provável
ca2a624d1afd1d9a47e29e07317460434c6d36332e14e441a902f7604e00281f;480;224,76;0,005;0,009;0,548565647;Muito Provável
425bd7d77728477f07ed1b8e0c1a63379c5ceed03df7c1247355cfda38317eb0;48811;134,63;0,356;0,002;0,784116399;Muito Provável
a239fdc6580893bb1b6292dbba1d2cb99f4c7ef49d37346560ec78e4fc18be75;643139,25;9,53;0,519;0;0,827434009;Muito Provável
9c61eb4cdbbddb0f4af772b28fcb9bb8a42479dac9c7111c2053e61a1f30ac22;1055,04;146,11;0,005;0,042;0,825;Muito Provável
9f75ce06658efce4bddd359ac679d0a5534a310b3513adeb150d327eb8602375;1950,61;155;0,014;0,056;0,25;Provável
e7575bb40fd4e341a0aa6732414faae27a6c409d8671c194a3dfa20c39bc3fee;5610,74;27,11;0,022;0,001;0,831818182;Muito Provável
684e5f485be96e2fc057a065a23813f7a48d5781b4c01f4baa40194386160205;40;139,89;0;0;0,825;Muito Provável
522b74f981070e5a0500c9ea17a07b039bb952048b24781b7fe77e66fdd1a71b;150737,31;357;0,056;0;0,324321459;Provável
54a814875248ef096c5f4e4f6033458ae34b36f8f7d3e2fbf3409d62d1576ffc;4456;48,18;0,015;0,01;0,757174274;Muito Provável
955937be5620c5ab219aa031eff6b749c053c327297773e6fae775969d4d79db;19844,09;21,47;0,054;0,053;0,815749601;Muito Provável
4eebf7a9b22d63b0c6f3734362efcca136c32bd5d498636c0e15ec8e4c60caa7;4732,5;5,95;0,048;0,016;0,777718381;Muito Provável
bf593e0963178983c82c16074ebe4e387680443397e3ead039c2f23965618ac2;2000;64,69;0,013;0,027;0,810120773;Muito Provável
f651a2a8c923687a425962cc5515cb89fef82b40da70cfb566fbfda314f80d6c;301858,77;264,6;0,284;0,164;0,859583901;Pouco Provável
09bc650c1a56a9be5f45b12cdda87f55eb80995a065126c09ec51bebfb24d559;5094,39;1,5;0,038;0;0,833333333;Muito Provável
885073c6dd3483aca22952ea7df0d6bbb6a47a2aa252a35662887f15581096c7;350,99;198,76;0,002;0,001;0,831818182;Muito Provável
564c7e15b62aab9becc5a31cccb58f94823fdec19f0123c565849fd38094626a;1214,38;270,57;0,001;0,001;0,825;Muito Provável
