ID;SITUACAO
ef1a4a9803e1b8442a251e088f1347203424c0d1972820e0f3476c91e83236f7;IP
b56b384f0ef543c8ff1abbbdfd4769547b4a61f9b00afabfbe6e0fe2e2f9c18f;CA
3fb99297a2474aac96cb80d6801a7abbeff1819a3c6edde49390236d02401106;IP
00633a547823dd158af4ab74e63ff392121465a7db631a03cc0600447aec31ff;IP
6fbc43e08bf2bd235d8c0f9d114570fc4e4b2491efa3a02b0e37746330447693;IP
46c1e6af6f9d7e1578389d8672cf8934171996c7ca01c3839e34124afc3e92e6;CA
6bf7936b1ef0059b385cdd94a2774a7b51e98c6dfd6b7fbe247f77e10b880e8a;CA
ffd3aa808fd102321bd827f6b4f75ae7e2dbb46fa5b4536f463e3ca09e8be0de;CA
a51c46e69f74a80b46df73f3725ab4b5c448a5d88077c950e88e79b565230998;CA
48f1f345ef36453eec3bf6d2208430837e7481a44982ca3a4f43680d1928854b;IP
c29038c0976bc86ee527f3932650a84ced65ee5fd657c43eed05a3cccd125a40;CA
3bfdc1487eca8ce35e354ec9f8e4cd5678eeec97ef5f70b962bb601a3ad7f4c9;IP
8be2043213013a979adbf84c8f36a3ed7ff4ec893e81cd12fdb8ce8f60b398e4;IP
cad5e00e4d3acad9f3eb1e026cae9a0c3c17b4aa86184c8354cfe287a97ff04e;CA
30fe5d734fe755b00d2f37cfbcdbcbe75674d45393d1bbe025cc582612bba7e3;CA
e77684178909a3e17977b8fe25b545b63c7aedd0a3c118839f30fcbd1de907f7;CA
23382cb799c9ef5dbaecc3593245ae493231b1f9fc9c712a99aa4dbbb4585dca;CA
fcb5af2bcdc221347d0d4673a2880bde637a3b192445527356da0f9def4b75db;CA
d4f741e9b788dfc13e45b00d2ff5cded515725cbab0d110e5598cccd10c7860b;IP
8047cee4d99244170040b0a4b58426786ae0a64551205c9f9ee6c6fc9714e0a5;CA
346dfda054819dc8d7785d7f2d338cc4c4b2577b3c2e1a4a625e7ce09e74a06e;IP
9dc155da81dc656600845f9a2d3ebe8383e1e6be5d775af37223c46da81751ad;IP
da65c96f90b2f377082e9de4af814567e4648f2c6e5e4be981f017f72890bcb2;IP
27d010f849f3755194bc7d2538b5343db3a0d91c938421f398acd2bb10217d54;IP
657317168a015d67c1310f258187c011dc2c2dd5fb2f95d5042cccd2ab318eab;CA
a0fae3359ebf602a9763f008efc344055b7b63c0320d8804f6a1925ea7fec33d;IP
4e83db9ab4de0a108263e0cadf523abb66bdd713dc9d065127f71f954ede3fe1;CA
3b48a58d2d487f5f08b558ad6717b53e560e81602e6ecfdee0ad576b6f483222;IP
dd04563109e1f29a581c42a45f9842abfdb4d744090dd05909a0fcc94af10652;CA
04198606c7eac5ca96b8b68688f93ce1c095c5318ba46e671f92e06a6e290cff;CA
6c635f33ee75754ad12e943d34ec4331237e562fe1dfe9c640eed1c480ba6067;CA
593bcb65648cb0cd925374a2dfcaf63d8f6190baee454b1761f3e42e7a93fb8f;CA
0119924e22585b75a587f6bd5a04f62f495642e9f961035ee2d1a1eb68b858f1;CA
48f541d11dc715ddf81c435dae931958d9953da4040f750850d83ec14c2f21bd;CA
e3aeedaee6c5665aa8df85d151bebbb47945d0704465230dea423d50a2f24f55;IP
165092deb6f672d62d70dcfe471c20c86f94b3d8be35e8ec49d6440a21856a8f;CA
f8599947c09332ef5e99824a229a901b23395bf15d6323226ba215dcd925ad83;CA
092cd6e183e398489eaedc6f463502141b5ed227ae60614466513ae9d089364e;CA
e7475e581dae24faa0313297586cf155685674d350da4da010a076af6e27cf74;CA
d87e04cf8a54f0589535277231c47b367d6dc29df230653d55bb437506aa23ca;CA
ad6d3cb27e20cf4424d843277259e55b0e31902ae20728dfe6092e689baa076a;CA
377af98339f96d494a3c683426d54d37b1130d4821696557e64ebc89b1d9420f;CA
c569e3d437e70155d6626108586c33649b62b7fe05e9bfa49b7e3e163ab58a5d;CA
55609ecc1100eab2f79c6d27a0be6308c98df6ed788bf98e93064d17fe22d404;CA
de3ddbb3d77989744c1d87c922307dff05cc800ad9285eee12e86c6af8b8a8ff;CA
